program,file,type,result,time_ms
inih,symcc-assertions-33.smt2,sat,unknown,2945
inih,symcc-assertions-34.smt2,sat,unknown,2582
inih,symcc-assertions-35.smt2,sat,unknown,2409
inih,symcc-assertions-36.smt2,sat,unknown,2360
inih,symcc-assertions-37.smt2,sat,unknown,2465
inih,symcc-assertions-38.smt2,sat,unknown,1882
inih,symcc-assertions-39.smt2,sat,unknown,1979
inih,symcc-assertions-3.smt2,sat,sat,7144
inih,symcc-assertions-40.smt2,sat,unknown,2718
inih,symcc-assertions-41.smt2,sat,unknown,2641
inih,symcc-assertions-42.smt2,sat,unknown,2488
inih,symcc-assertions-43.smt2,sat,unknown,1742
inih,symcc-assertions-44.smt2,sat,unknown,2071
inih,symcc-assertions-45.smt2,sat,unknown,1775
inih,symcc-assertions-46.smt2,sat,unknown,1624
inih,symcc-assertions-47.smt2,sat,unknown,1840
inih,symcc-assertions-48.smt2,sat,unknown,1997
inih,symcc-assertions-49.smt2,sat,unknown,1915
inih,symcc-assertions-4.smt2,sat,sat,20105
inih,symcc-assertions-5.smt2,sat,sat,21466
inih,symcc-assertions-6.smt2,sat,sat,17885
inih,symcc-assertions-7.smt2,sat,sat,7820
inih,symcc-assertions-8.smt2,sat,sat,14326
inih,symcc-assertions-9.smt2,sat,sat,6890
inih,symcc-unsat-0.smt2,unsat,sat,3845
inih,symcc-unsat-10.smt2,unsat,timeout,60130
inih,symcc-unsat-11.smt2,unsat,sat,14467
inih,symcc-unsat-12.smt2,unsat,timeout,60486
inih,symcc-unsat-13.smt2,unsat,sat,13009
inih,symcc-unsat-14.smt2,unsat,sat,14729
inih,symcc-unsat-15.smt2,unsat,sat,15322
inih,symcc-unsat-16.smt2,unsat,timeout,60151
inih,symcc-unsat-17.smt2,unsat,timeout,60184
inih,symcc-unsat-18.smt2,unsat,timeout,60121
inih,symcc-unsat-19.smt2,unsat,sat,8421
inih,symcc-unsat-1.smt2,unsat,sat,4601
inih,symcc-unsat-20.smt2,unsat,sat,10550
inih,symcc-unsat-21.smt2,unsat,sat,10499
inih,symcc-unsat-22.smt2,unsat,unknown,2492
inih,symcc-unsat-23.smt2,unsat,unknown,2710
inih,symcc-unsat-24.smt2,unsat,unknown,2340
inih,symcc-unsat-25.smt2,unsat,unknown,1582
inih,symcc-unsat-26.smt2,unsat,unknown,3200
inih,symcc-unsat-27.smt2,unsat,unknown,3253
inih,symcc-unsat-28.smt2,unsat,unknown,2549
inih,symcc-unsat-29.smt2,unsat,unknown,2517
inih,symcc-unsat-2.smt2,unsat,sat,6310
inih,symcc-unsat-30.smt2,unsat,unknown,2531
inih,symcc-unsat-31.smt2,unsat,unknown,2346
inih,symcc-unsat-32.smt2,unsat,unknown,2068
inih,symcc-unsat-33.smt2,unsat,unknown,2402
inih,symcc-unsat-34.smt2,unsat,unknown,3081
inih,symcc-unsat-35.smt2,unsat,unknown,2849
inih,symcc-unsat-36.smt2,unsat,unknown,2632
inih,symcc-unsat-37.smt2,unsat,unknown,2402
inih,symcc-unsat-38.smt2,unsat,unknown,2566
inih,symcc-unsat-39.smt2,unsat,unknown,2619
inih,symcc-unsat-3.smt2,unsat,sat,6967
inih,symcc-unsat-40.smt2,unsat,unknown,2400
inih,symcc-unsat-41.smt2,unsat,unknown,2213
inih,symcc-unsat-42.smt2,unsat,unknown,2647
inih,symcc-unsat-43.smt2,unsat,unknown,2923
inih,symcc-unsat-44.smt2,unsat,unknown,2611
inih,symcc-unsat-45.smt2,unsat,unknown,2763
inih,symcc-unsat-46.smt2,unsat,unknown,2093
inih,symcc-unsat-47.smt2,unsat,unknown,1659
inih,symcc-unsat-48.smt2,unsat,unknown,1750
inih,symcc-unsat-49.smt2,unsat,unknown,1868
inih,symcc-unsat-4.smt2,unsat,sat,9084
inih,symcc-unsat-5.smt2,unsat,sat,10478
inih,symcc-unsat-6.smt2,unsat,sat,7260
inih,symcc-unsat-7.smt2,unsat,sat,11363
inih,symcc-unsat-8.smt2,unsat,sat,8248
inih,symcc-unsat-9.smt2,unsat,timeout,60176
b64,symcc-assertions-0.smt2,sat,unknown,2416
b64,symcc-assertions-10.smt2,sat,unknown,2511
b64,symcc-assertions-11.smt2,sat,unknown,2879
b64,symcc-assertions-12.smt2,sat,unknown,2249
b64,symcc-assertions-13.smt2,sat,unknown,1955
b64,symcc-assertions-14.smt2,sat,unknown,1963
b64,symcc-assertions-15.smt2,sat,unknown,1996
b64,symcc-assertions-16.smt2,sat,unknown,2145
b64,symcc-assertions-17.smt2,sat,unknown,2539
b64,symcc-assertions-18.smt2,sat,unknown,2347
b64,symcc-assertions-19.smt2,sat,unknown,2061
b64,symcc-assertions-1.smt2,sat,unknown,2711
b64,symcc-assertions-20.smt2,sat,unknown,2742
b64,symcc-assertions-21.smt2,sat,unknown,2705
b64,symcc-assertions-22.smt2,sat,unknown,2729
b64,symcc-assertions-23.smt2,sat,unknown,2790
b64,symcc-assertions-24.smt2,sat,unknown,2029
b64,symcc-assertions-25.smt2,sat,unknown,1781
b64,symcc-assertions-26.smt2,sat,unknown,2053
b64,symcc-assertions-27.smt2,sat,unknown,1885
b64,symcc-assertions-28.smt2,sat,unknown,1830
b64,symcc-assertions-29.smt2,sat,unknown,2662
b64,symcc-assertions-2.smt2,sat,unknown,2926
b64,symcc-assertions-30.smt2,sat,unknown,2917
b64,symcc-assertions-31.smt2,sat,unknown,2991
b64,symcc-assertions-32.smt2,sat,unknown,2629
b64,symcc-assertions-33.smt2,sat,unknown,4252
b64,symcc-assertions-34.smt2,sat,unknown,3063
b64,symcc-assertions-35.smt2,sat,unknown,2937
b64,symcc-assertions-36.smt2,sat,unknown,2572
b64,symcc-assertions-37.smt2,sat,unknown,1924
b64,symcc-assertions-38.smt2,sat,unknown,3043
b64,symcc-assertions-39.smt2,sat,unknown,3111
b64,symcc-assertions-3.smt2,sat,unknown,2823
b64,symcc-assertions-40.smt2,sat,unknown,3040
b64,symcc-assertions-41.smt2,sat,unknown,2487
b64,symcc-assertions-42.smt2,sat,unknown,2211
b64,symcc-assertions-43.smt2,sat,unknown,1891
b64,symcc-assertions-44.smt2,sat,unknown,2998
b64,symcc-assertions-45.smt2,sat,unknown,2594
b64,symcc-assertions-46.smt2,sat,unknown,1979
b64,symcc-assertions-47.smt2,sat,unknown,2560
b64,symcc-assertions-48.smt2,sat,unknown,2649
b64,symcc-assertions-49.smt2,sat,unknown,2640
b64,symcc-assertions-4.smt2,sat,unknown,3209
b64,symcc-assertions-5.smt2,sat,unknown,2650
b64,symcc-assertions-6.smt2,sat,unknown,2739
b64,symcc-assertions-7.smt2,sat,unknown,2787
b64,symcc-assertions-8.smt2,sat,unknown,3147
b64,symcc-assertions-9.smt2,sat,unknown,2213
b64,symcc-unsat-0.smt2,unsat,unknown,2427
b64,symcc-unsat-10.smt2,unsat,unknown,2378
b64,symcc-unsat-11.smt2,unsat,unknown,2440
b64,symcc-unsat-12.smt2,unsat,unknown,2858
b64,symcc-unsat-13.smt2,unsat,unknown,2795
b64,symcc-unsat-14.smt2,unsat,unknown,2268
b64,symcc-unsat-15.smt2,unsat,unknown,2982
b64,symcc-unsat-16.smt2,unsat,unknown,2543
b64,symcc-unsat-17.smt2,unsat,unknown,2530
b64,symcc-unsat-18.smt2,unsat,unknown,2290
b64,symcc-unsat-19.smt2,unsat,unknown,2888
b64,symcc-unsat-1.smt2,unsat,unknown,2727
b64,symcc-unsat-20.smt2,unsat,unknown,2544
b64,symcc-unsat-21.smt2,unsat,unknown,2980
b64,symcc-unsat-22.smt2,unsat,unknown,3092
b64,symcc-unsat-23.smt2,unsat,unknown,1992
b64,symcc-unsat-24.smt2,unsat,unknown,1958
b64,symcc-unsat-25.smt2,unsat,unknown,1791
b64,symcc-unsat-26.smt2,unsat,unknown,1819
b64,symcc-unsat-27.smt2,unsat,unknown,2588
b64,symcc-unsat-28.smt2,unsat,unknown,1683
b64,symcc-unsat-29.smt2,unsat,unknown,3548
b64,symcc-unsat-2.smt2,unsat,unknown,2803
b64,symcc-unsat-30.smt2,unsat,unknown,2810
b64,symcc-unsat-31.smt2,unsat,unknown,3148
b64,symcc-unsat-32.smt2,unsat,unknown,2449
b64,symcc-unsat-33.smt2,unsat,unknown,1963
b64,symcc-unsat-34.smt2,unsat,unknown,2000
b64,symcc-unsat-35.smt2,unsat,unknown,2229
b64,symcc-unsat-36.smt2,unsat,unknown,2249
b64,symcc-unsat-37.smt2,unsat,unknown,2146
b64,symcc-unsat-38.smt2,unsat,unknown,1873
b64,symcc-unsat-39.smt2,unsat,unknown,2187
b64,symcc-unsat-3.smt2,unsat,unknown,1822
b64,symcc-unsat-40.smt2,unsat,unknown,1828
b64,symcc-unsat-41.smt2,unsat,unknown,1824
b64,symcc-unsat-42.smt2,unsat,unknown,1871
b64,symcc-unsat-43.smt2,unsat,unknown,1913
b64,symcc-unsat-44.smt2,unsat,unknown,1823
b64,symcc-unsat-45.smt2,unsat,unknown,1862
b64,symcc-unsat-46.smt2,unsat,unknown,1926
b64,symcc-unsat-47.smt2,unsat,unknown,1857
b64,symcc-unsat-48.smt2,unsat,unknown,2827
b64,symcc-unsat-49.smt2,unsat,unknown,1589
b64,symcc-unsat-4.smt2,unsat,unknown,2421
b64,symcc-unsat-5.smt2,unsat,unknown,2736
b64,symcc-unsat-6.smt2,unsat,unknown,1835
b64,symcc-unsat-7.smt2,unsat,unknown,2082
b64,symcc-unsat-8.smt2,unsat,unknown,2039
b64,symcc-unsat-9.smt2,unsat,unknown,1874
minicsv,symcc-assertions-0.smt2,sat,sat,2869
minicsv,symcc-assertions-10.smt2,sat,sat,20492
minicsv,symcc-assertions-11.smt2,sat,sat,7589
minicsv,symcc-assertions-12.smt2,sat,sat,9432
minicsv,symcc-assertions-13.smt2,sat,sat,9494
minicsv,symcc-assertions-14.smt2,sat,sat,7139
minicsv,symcc-assertions-15.smt2,sat,sat,7448
minicsv,symcc-assertions-16.smt2,sat,sat,6602
minicsv,symcc-assertions-17.smt2,sat,sat,9127
minicsv,symcc-assertions-18.smt2,sat,sat,8782
minicsv,symcc-assertions-19.smt2,sat,sat,7591
minicsv,symcc-assertions-1.smt2,sat,unsat,4256
minicsv,symcc-assertions-20.smt2,sat,sat,6380
minicsv,symcc-assertions-21.smt2,sat,sat,7337
minicsv,symcc-assertions-22.smt2,sat,sat,9230
minicsv,symcc-assertions-23.smt2,sat,sat,6689
minicsv,symcc-assertions-24.smt2,sat,unsat,2591
minicsv,symcc-assertions-25.smt2,sat,unsat,2808
minicsv,symcc-assertions-26.smt2,sat,sat,9653
minicsv,symcc-assertions-27.smt2,sat,sat,9576
minicsv,symcc-assertions-28.smt2,sat,sat,9468
minicsv,symcc-assertions-29.smt2,sat,sat,10882
minicsv,symcc-assertions-2.smt2,sat,sat,4896
minicsv,symcc-assertions-30.smt2,sat,sat,7073
minicsv,symcc-assertions-31.smt2,sat,sat,6506
minicsv,symcc-assertions-32.smt2,sat,sat,20666
minicsv,symcc-assertions-33.smt2,sat,sat,17047
minicsv,symcc-assertions-34.smt2,sat,sat,15264
minicsv,symcc-assertions-35.smt2,sat,sat,16755
minicsv,symcc-assertions-36.smt2,sat,sat,9212
minicsv,symcc-assertions-37.smt2,sat,timeout,60198
minicsv,symcc-assertions-38.smt2,sat,timeout,60149
minicsv,symcc-assertions-39.smt2,sat,sat,20248
