program,file,type,result,time_ms
inih,symcc-assertions-32.smt2,sat,unknown,938
inih,symcc-assertions-33.smt2,sat,unknown,980
inih,symcc-assertions-34.smt2,sat,unknown,903
inih,symcc-assertions-35.smt2,sat,unknown,916
inih,symcc-assertions-36.smt2,sat,unknown,918
inih,symcc-assertions-37.smt2,sat,unknown,960
inih,symcc-assertions-38.smt2,sat,unknown,925
inih,symcc-assertions-39.smt2,sat,unknown,966
inih,symcc-assertions-3.smt2,sat,sat,2529
inih,symcc-assertions-40.smt2,sat,unknown,870
inih,symcc-assertions-41.smt2,sat,unknown,946
inih,symcc-assertions-42.smt2,sat,unknown,963
inih,symcc-assertions-43.smt2,sat,unknown,973
inih,symcc-assertions-44.smt2,sat,unknown,941
inih,symcc-assertions-45.smt2,sat,unknown,1005
inih,symcc-assertions-46.smt2,sat,unknown,966
inih,symcc-assertions-47.smt2,sat,unknown,1038
inih,symcc-assertions-48.smt2,sat,unknown,911
inih,symcc-assertions-49.smt2,sat,unknown,977
inih,symcc-assertions-4.smt2,sat,sat,9363
inih,symcc-assertions-50.smt2,sat,unknown,944
inih,symcc-assertions-51.smt2,sat,unknown,948
inih,symcc-assertions-52.smt2,sat,unknown,928
inih,symcc-assertions-53.smt2,sat,unknown,995
inih,symcc-assertions-54.smt2,sat,unknown,940
inih,symcc-unsat-0.smt2,unsat,sat,1411
inih,symcc-unsat-10.smt2,unsat,timeout,60136
inih,symcc-unsat-11.smt2,unsat,sat,9904
inih,symcc-unsat-12.smt2,unsat,timeout,60126
inih,symcc-unsat-13.smt2,unsat,sat,9913
inih,symcc-unsat-14.smt2,unsat,sat,9126
inih,symcc-unsat-15.smt2,unsat,sat,10059
inih,symcc-unsat-16.smt2,unsat,timeout,60112
inih,symcc-unsat-17.smt2,unsat,timeout,60078
inih,symcc-unsat-18.smt2,unsat,timeout,60179
inih,symcc-unsat-19.smt2,unsat,sat,4322
inih,symcc-unsat-1.smt2,unsat,sat,2405
inih,symcc-unsat-20.smt2,unsat,sat,4991
inih,symcc-unsat-21.smt2,unsat,sat,5372
inih,symcc-unsat-22.smt2,unsat,unknown,957
inih,symcc-unsat-23.smt2,unsat,unknown,936
inih,symcc-unsat-24.smt2,unsat,unknown,957
inih,symcc-unsat-25.smt2,unsat,unknown,943
inih,symcc-unsat-26.smt2,unsat,unknown,947
inih,symcc-unsat-27.smt2,unsat,unknown,939
inih,symcc-unsat-28.smt2,unsat,unknown,965
inih,symcc-unsat-29.smt2,unsat,unknown,938
inih,symcc-unsat-2.smt2,unsat,sat,2880
inih,symcc-unsat-30.smt2,unsat,unknown,896
inih,symcc-unsat-31.smt2,unsat,unknown,944
inih,symcc-unsat-32.smt2,unsat,unknown,986
inih,symcc-unsat-33.smt2,unsat,unknown,962
inih,symcc-unsat-34.smt2,unsat,unknown,945
inih,symcc-unsat-35.smt2,unsat,unknown,939
inih,symcc-unsat-36.smt2,unsat,unknown,984
inih,symcc-unsat-37.smt2,unsat,unknown,946
inih,symcc-unsat-38.smt2,unsat,unknown,962
inih,symcc-unsat-39.smt2,unsat,unknown,946
inih,symcc-unsat-3.smt2,unsat,sat,2516
inih,symcc-unsat-40.smt2,unsat,unknown,933
inih,symcc-unsat-41.smt2,unsat,unknown,977
inih,symcc-unsat-42.smt2,unsat,unknown,955
inih,symcc-unsat-43.smt2,unsat,unknown,991
inih,symcc-unsat-44.smt2,unsat,unknown,936
inih,symcc-unsat-45.smt2,unsat,unknown,970
inih,symcc-unsat-46.smt2,unsat,unknown,1006
inih,symcc-unsat-47.smt2,unsat,unknown,968
inih,symcc-unsat-48.smt2,unsat,unknown,923
inih,symcc-unsat-49.smt2,unsat,unknown,1021
inih,symcc-unsat-4.smt2,unsat,sat,4449
inih,symcc-unsat-50.smt2,unsat,unknown,982
inih,symcc-unsat-51.smt2,unsat,unknown,935
inih,symcc-unsat-52.smt2,unsat,unknown,953
inih,symcc-unsat-53.smt2,unsat,unknown,982
inih,symcc-unsat-54.smt2,unsat,unknown,996
b64,symcc-assertions-0.smt2,sat,unknown,980
b64,symcc-assertions-100.smt2,sat,unknown,1205
b64,symcc-assertions-101.smt2,sat,unknown,1166
b64,symcc-assertions-102.smt2,sat,unknown,1194
b64,symcc-assertions-103.smt2,sat,unknown,1174
b64,symcc-assertions-104.smt2,sat,unknown,1251
b64,symcc-assertions-105.smt2,sat,unknown,1182
b64,symcc-assertions-106.smt2,sat,unknown,1183
b64,symcc-assertions-107.smt2,sat,unknown,1210
b64,symcc-assertions-108.smt2,sat,unknown,1753
b64,symcc-assertions-109.smt2,sat,unknown,1470
b64,symcc-assertions-10.smt2,sat,unknown,1247
b64,symcc-assertions-110.smt2,sat,unknown,1679
b64,symcc-assertions-111.smt2,sat,unknown,1293
b64,symcc-assertions-112.smt2,sat,unknown,1258
b64,symcc-assertions-113.smt2,sat,unknown,1276
b64,symcc-assertions-114.smt2,sat,unknown,1252
b64,symcc-assertions-115.smt2,sat,unknown,1252
b64,symcc-assertions-116.smt2,sat,unknown,1640
b64,symcc-assertions-117.smt2,sat,unknown,1705
b64,symcc-assertions-118.smt2,sat,unknown,1494
b64,symcc-assertions-119.smt2,sat,unknown,1663
b64,symcc-assertions-11.smt2,sat,unknown,1072
b64,symcc-assertions-120.smt2,sat,unknown,1274
b64,symcc-assertions-121.smt2,sat,unknown,1279
b64,symcc-assertions-122.smt2,sat,unknown,1255
b64,symcc-assertions-123.smt2,sat,unknown,1715
b64,symcc-assertions-124.smt2,sat,unknown,1222
b64,symcc-assertions-125.smt2,sat,unknown,1647
b64,symcc-assertions-126.smt2,sat,unknown,1276
b64,symcc-assertions-127.smt2,sat,unknown,1824
b64,symcc-assertions-128.smt2,sat,unknown,1794
b64,symcc-assertions-129.smt2,sat,unknown,1732
b64,symcc-assertions-12.smt2,sat,unknown,1006
b64,symcc-assertions-130.smt2,sat,unknown,1251
b64,symcc-assertions-131.smt2,sat,unknown,1375
b64,symcc-assertions-132.smt2,sat,unknown,1357
b64,symcc-assertions-133.smt2,sat,unknown,1246
b64,symcc-assertions-134.smt2,sat,unknown,1867
b64,symcc-assertions-135.smt2,sat,unknown,1647
b64,symcc-assertions-136.smt2,sat,unknown,1327
b64,symcc-assertions-137.smt2,sat,unknown,1375
b64,symcc-assertions-138.smt2,sat,unknown,1953
b64,symcc-assertions-139.smt2,sat,unknown,1596
b64,symcc-assertions-13.smt2,sat,unknown,1057
b64,symcc-assertions-140.smt2,sat,unknown,1647
b64,symcc-assertions-141.smt2,sat,unknown,1335
b64,symcc-assertions-142.smt2,sat,unknown,1242
b64,symcc-assertions-143.smt2,sat,unknown,1249
b64,symcc-assertions-144.smt2,sat,unknown,1279
b64,symcc-unsat-0.smt2,unsat,unknown,944
b64,symcc-unsat-100.smt2,unsat,unknown,1157
b64,symcc-unsat-101.smt2,unsat,unknown,1281
b64,symcc-unsat-102.smt2,unsat,unknown,1198
b64,symcc-unsat-103.smt2,unsat,unknown,1124
